username,password,name,course,address,type,semester,classSection
user1,password1,Name1,Btech CSE,Address1,student,1,A
user2,password2,Name2,Btech CSE,Address2,student,2,A
user3,password3,Name3,Btech CSE,Address3,student,3,A
user4,password4,Name4,Btech CSE,Address4,student,4,A
user5,password5,Name5,Btech CSE,Address5,student,5,A
user6,password6,Name6,Btech CSE,Address6,student,6,A
user7,password7,Name7,Btech CSE,Address7,student,7,A
user8,password8,Name8,Btech CSE,Address8,student,8,A
user9,password9,Name9,Btech CSE,Address9,student,1,A
user10,password10,Name10,Btech CSE,Address10,student,2,A
user11,password11,Name11,Btech CSE,Address11,student,1,A
user12,password12,Name12,Btech CSE,Address12,student,2,A
user13,password13,Name13,Btech CSE,Address13,student,3,A
user14,password14,Name14,Btech CSE,Address14,student,4,A
user15,password15,Name15,Btech CSE,Address15,student,5,A
user16,password16,Name16,Btech CSE,Address16,student,6,A
user17,password17,Name17,Btech CSE,Address17,student,7,A
user18,password18,Name18,Btech CSE,Address18,student,8,A
user19,password19,Name19,Btech CSE,Address19,student,1,A
user20,password20,Name20,Btech CSE,Address20,student,2,A
user21,password21,Name21,Btech CSE,Address21,student,1,A
user22,password22,Name22,Btech CSE,Address22,student,2,A
user23,password23,Name23,Btech CSE,Address23,student,3,A
user24,password24,Name24,Btech CSE,Address24,student,4,A
user25,password25,Name25,Btech CSE,Address25,student,5,A
user26,password26,Name26,Btech CSE,Address26,student,6,B
user27,password27,Name27,Btech CSE,Address27,student,7,B
user28,password28,Name28,Btech CSE,Address28,student,8,B
user29,password29,Name29,Btech CSE,Address29,student,1,B
user30,password30,Name30,Btech CSE,Address30,student,2,B
user31,password31,Name31,Btech CSE,Address31,student,1,B
user32,password32,Name32,Btech CSE,Address32,student,2,B
user33,password33,Name33,Btech CSE,Address33,student,3,B
user34,password34,Name34,Btech CSE,Address34,student,4,B
user35,password35,Name35,Btech CSE,Address35,student,5,B
user36,password36,Name36,Btech CSE,Address36,student,6,B
user37,password37,Name37,Btech CSE,Address37,student,7,B
user38,password38,Name38,Btech CSE,Address38,student,8,B
user39,password39,Name39,Btech CSE,Address39,student,1,B
user40,password40,Name40,Btech CSE,Address40,student,2,B
user41,password41,Name41,Btech CSE,Address41,student,1,B
user42,password42,Name42,Btech CSE,Address42,student,2,B
user43,password43,Name43,Btech CSE,Address43,student,3,B
user44,password44,Name44,Btech CSE,Address44,student,4,B
user45,password45,Name45,Btech CSE,Address45,student,5,B
user46,password46,Name46,Btech CSE,Address46,student,6,B
user47,password47,Name47,Btech CSE,Address47,student,7,B
user48,password48,Name48,Btech CSE,Address48,student,8,B
user49,password49,Name49,Btech CSE,Address49,student,1,B
user50,password50,Name50,Btech CSE,Address50,student,2,B
user51,password51,Name51,Btech CSE,Address51,student,1,C
user52,password52,Name52,Btech CSE,Address52,student,2,C
user53,password53,Name53,Btech CSE,Address53,student,3,C
user54,password54,Name54,Btech CSE,Address54,student,4,C
user55,password55,Name55,Btech CSE,Address55,student,5,C
user56,password56,Name56,Btech CSE,Address56,student,6,C
user57,password57,Name57,Btech CSE,Address57,student,7,C
user58,password58,Name58,Btech CSE,Address58,student,8,C
user59,password59,Name59,Btech CSE,Address59,student,1,C
user60,password60,Name60,Btech CSE,Address60,student,2,C
user61,password61,Name61,Btech CSE,Address61,student,1,C
user62,password62,Name62,Btech CSE,Address62,student,2,C
user63,password63,Name63,Btech CSE,Address63,student,3,C
user64,password64,Name64,Btech CSE,Address64,student,4,C
user65,password65,Name65,Btech CSE,Address65,student,5,C
user66,password66,Name66,Btech CSE,Address66,student,6,C
user67,password67,Name67,Btech CSE,Address67,student,7,C
user68,password68,Name68,Btech CSE,Address68,student,8,C
user69,password69,Name69,Btech CSE,Address69,student,1,C
user70,password70,Name70,Btech CSE,Address70,student,2,C
user71,password71,Name71,Btech CSE,Address71,student,1,C
user72,password72,Name72,Btech CSE,Address72,student,2,C
user73,password73,Name73,Btech CSE,Address73,student,3,C
user74,password74,Name74,Btech CSE,Address74,student,4,C
user75,password75,Name75,Btech CSE,Address75,student,5,C
